latitud,longitud,farm_id,objeto,calle,altura,direc_norm,direc_arcg,telefono,obs_telefono,barrio,comuna
-583.923.068.223.716,-346.069.894.486.155,1113,FARMACIA,AV CALLAO,200,CALLAO AV. 200,200 CALLAO AV.,4372-9339,4372-8885,BALVANERA,3
-584.098.595.087.714,-346.150.852.739.684,1522,FARMACIA,AV BELGRANO,3101,BELGRANO AV. 3101,3101 BELGRANO AV.,4931-3132,,BALVANERA,3
-584.730.685.276.207,-346.147.341.624.871,6,FARMACIA,AV JUAN B. JUSTO,5391,"JUSTO, JUAN B. AV. 5391","5391 JUSTO, JUAN B. AV.",4581-3650,,VILLA GRAL. MITRE,11
-58.459.531.965.188,-346.050.009.330.282,33,FARMACIA,AV JUAN B. JUSTO,4099,"JUSTO, JUAN B. AV. 4099","4099 JUSTO, JUAN B. AV.",4582-8839,,VILLA GRAL. MITRE,11
-584.690.454.896.402,-346.175.812.975.435,102,FARMACIA,AV GAONA,3099,GAONA AV. 3099,3099 GAONA AV.,4581-2840,,VILLA GRAL. MITRE,11
-584.650.474.748.271,-346.030.034.398.937,146,FARMACIA,AV SAN MARTIN,2802,SAN MARTIN AV. 2802,2802 SAN MARTIN AV.,4581-6393,,VILLA GRAL. MITRE,11
-584.796.584.323.218,-346.088.594.709.297,345,FARMACIA,CONDARCO,2105,CONDARCO 2105,2105 CONDARCO,4588-1198,,VILLA GRAL. MITRE,11
-584.738.746.891.068,-346.115.656.918.218,444,FARMACIA,GRAL. JOSE G. DE ARTIGAS,1701,"ARTIGAS, JOSE GERVASIO, GRAL. 1701","1701 ARTIGAS, JOSE GERVASIO, GRAL.",4581-7361,,VILLA GRAL. MITRE,11
-584.629.170.826.639,-346.064.594.497.039,465,FARMACIA,TTE. GRAL. DONATO ALVAREZ,1801,"ALVAREZ, DONATO, TTE. GRAL. AV. 1801","1801 ALVAREZ, DONATO, TTE. GRAL. AV.",4581-1909,,VILLA GRAL. MITRE,11
-584.753.174.053.557,-346.063.508.588.332,676,FARMACIA,ALVAREZ JONTE,2336,ALVAREZ JONTE 2336,2336 ALVAREZ JONTE,4582-4444,,VILLA GRAL. MITRE,11
-584.663.159.890.356,-346.122.129.268.899,783,FARMACIA,TRES ARROYOS,2060,TRES ARROYOS 2060,2060 TRES ARROYOS,,,VILLA GRAL. MITRE,11
-584.640.393.489.108,-346.032.609.972.623,853,FARMACIA,AV SAN MARTIN,2724,SAN MARTIN AV. 2724,2724 SAN MARTIN AV.,,,VILLA GRAL. MITRE,11
-584.689.232.714.847,-346.020.450.287.759,934,FARMACIA,AV SAN MARTIN,3200,SAN MARTIN AV. 3200,3200 SAN MARTIN AV.,4582-2740,5857072,VILLA GRAL. MITRE,11
-584.757.567.717.393,-346.096.994.977.059,1428,FARMACIA,ARTIGAS,1902,"ARTIGAS, JOSE GERVASIO, GRAL. 1902","1902 ARTIGAS, JOSE GERVASIO, GRAL.",4584-6017,,VILLA GRAL. MITRE,11
-584.689.759.825.657,-346.117.065.912.837,2,FARMACIA,AV JUAN B. JUSTO,4995,"JUSTO, JUAN B. AV. 4995","4995 JUSTO, JUAN B. AV.",4581-3798,,VILLA GRAL. MITRE,11
-584.727.144.793.844,-346.046.766.190.738,1453,FARMACIA,JONTE,2098,ALVAREZ JONTE 2098,2098 ALVAREZ JONTE,4581-1333,,VILLA GRAL. MITRE,11
-584.795.389.007.429,-345.824.602.181.167,119,FARMACIA,AVALOS,1554,AVALOS 1554,1554 AVALOS,4523-5779,,PARQUE CHAS,15
-58.485.384.908.922,-345.881.628.827.827,400,FARMACIA,AV CONSTITUYENTES,3601,DE LOS CONSTITUYENTES AV. 3601,3601 DE LOS CONSTITUYENTES AV.,4574-0634,,PARQUE CHAS,15
-584.792.955.072.529,-345.852.775.693.813,804,FARMACIA,AV DE LOS INCAS,4960,DE LOS INCAS AV. 4960,4960 DE LOS INCAS AV.,4521-6212,,PARQUE CHAS,15
-584.745.918.122.882,-345.812.519.599.115,1057,FARMACIA,AV TRIUNVIRATO,3752,TRIUNVIRATO AV. 3752,3752 TRIUNVIRATO AV.,,,PARQUE CHAS,15
-584.786.115.850.275,-345.847.764.587.238,1446,FARMACIA,AV DE LOS INCAS,4892,DE LOS INCAS AV. 4892,4892 DE LOS INCAS AV.,4897-4743,,PARQUE CHAS,15
-584.757.067.057.461,-345.880.188.264.538,290,FARMACIA,BAUNESS,1099,BAUNESS 1099,1099 BAUNESS,4521-2142,,PARQUE CHAS,15
-584.911.332.029.984,-345.909.064.224.523,31,FARMACIA,ARTIGAS,3700,"ARTIGAS, JOSE GERVASIO, GRAL. 3700","3700 ARTIGAS, JOSE GERVASIO, GRAL.",4574-1657,,AGRONOMIA,15
-584.983.447.727.297,-345.910.126.321.605,80,FARMACIA,AV SALVADOR MARIA DEL CARRIL,2916,"CARRIL, SALVADOR MARIA DEL AV. 2916","2916 CARRIL, SALVADOR MARIA DEL AV.",4571-5037,,AGRONOMIA,15
-585.025.347.522.062,-345.946.370.649.779,375,FARMACIA,AV SAN MARTIN,6199,SAN MARTIN AV. 6199,6199 SAN MARTIN AV.,4501-0042,,AGRONOMIA,15
-585.029.725.459.279,-345.942.908.353.895,439,FARMACIA,GUTEMBERG,3295,GUTENBERG 3295,3295 GUTENBERG,4572-1410,,AGRONOMIA,15
-584.960.446.224.808,-345.932.693.175.175,451,FARMACIA,NAZCA,3714,NAZCA 3714,3714 NAZCA,45722395,,AGRONOMIA,15
-584.879.304.346.511,-345.972.133.520.758,139,FARMACIA,AV SAN MARTIN,4951,SAN MARTIN AV. 4951,4951 SAN MARTIN AV.,4501-0479,,AGRONOMIA,15
-584.607.373.411.615,-345.819.643.320.509,7,FARMACIA,AV ELCANO,3901,ELCANO AV. 3901,3901 ELCANO AV.,4551-2338,,VILLA ORTUZAR,15
-584.763.229.044.755,-345.795.442.276.807,69,FARMACIA,AV TRIUNVIRATO,3931,TRIUNVIRATO AV. 3931,3931 TRIUNVIRATO AV.,4522-5357,,VILLA ORTUZAR,15
-584.721.696.248.768,-345.845.045.567.555,112,FARMACIA,COMBATIENTES DE MALVINAS,3105,COMBATIENTES DE MALVINAS AV. 3105,3105 COMBATIENTES DE MALVINAS AV.,4521-1322,,VILLA ORTUZAR,15
-584.693.382.890.445,-345.803.770.529.828,129,FARMACIA,CHARLONE,1999,CHARLONE 1999,1999 CHARLONE,4552-4370,,VILLA ORTUZAR,15
-58.464.464.149.468,-345.845.423.141.478,177,FARMACIA,AV TRIUNVIRATO,2977,TRIUNVIRATO AV. 2977,2977 TRIUNVIRATO AV.,4554-7330,4554-4878/20,VILLA ORTUZAR,15
-584.710.370.970.123,-345.866.817.357.703,210,FARMACIA,AV COMBATIENTES DE MALVINAS,3005,COMBATIENTES DE MALVINAS AV. 3005,3005 COMBATIENTES DE MALVINAS AV.,4523-9266,,VILLA ORTUZAR,15
-584.655.504.806.866,-345.837.100.990.812,540,FARMACIA,GUEVARA,1541,GUEVARA 1541,1541 GUEVARA,4555-6410,,VILLA ORTUZAR,15
-584.628.749.641.502,-345.781.803.966.567,839,FARMACIA,AV ALVAREZ THOMAS,1475,ALVAREZ THOMAS AV. 1475,1475 ALVAREZ THOMAS AV.,4551-5204,,VILLA ORTUZAR,15
-584.640.526.298.877,-345.783.876.480.014,845,FARMACIA,AV ALVAREZ THOMAS,1555,ALVAREZ THOMAS AV. 1555,1555 ALVAREZ THOMAS AV.,4555-7511,,VILLA ORTUZAR,15
-584.697.198.182.533,-345.789.723.064.977,1038,FARMACIA,AV CHORROARIN,1482,CHORROARIN AV. 1482,1482 CHORROARIN AV.,,,VILLA ORTUZAR,15
-584.722.444.577.924,-345.823.794.924.078,1324,FARMACIA,AV TRIUNVIRATO,3602,TRIUNVIRATO AV. 3602,3602 TRIUNVIRATO AV.,4521-0086,,VILLA ORTUZAR,15
-584.740.242.069.801,-345.813.305.496.537,1529,FARMACIA,AV TRIUNVIRATO,3749,TRIUNVIRATO AV. 3749,3749 TRIUNVIRATO AV.,4523-7547,,VILLA ORTUZAR,15
-583.798.354.078.335,-346.504.081.314.035,239,FARMACIA,SANTA MAGDALENA,668,SANTA MAGDALENA 668,668 SANTA MAGDALENA,4301-8461,,BARRACAS,4
-583.754.517.184.764,-346.335.813.600.082,308,FARMACIA,MONTES DE OCA,444,"MONTES DE OCA, MANUEL 444","444 MONTES DE OCA, MANUEL",4362-4068,,BARRACAS,4
-583.804.879.131.228,-346.521.047.133.576,392,FARMACIA,SANTO DOMINGO,2425,SANTO DOMINGO 2425,2425 SANTO DOMINGO,4302-6607,,BARRACAS,4
-58.370.704.160.404,-346.309.485.215.859,420,FARMACIA,AV REGIMIENTO DE PATRICIOS,101,REGIMIENTO DE PATRICIOS AV. 101,101 REGIMIENTO DE PATRICIOS AV.,,,BARRACAS,4
-583.775.895.022.765,-346.286.014.228.037,433,FARMACIA,AV CASEROS,1000,CASEROS AV. 1000,1000 CASEROS AV.,4307-7028,4300-7261 o 43006-1944,BARRACAS,4
-583.750.502.100.804,-346.350.599.832.233,445,FARMACIA,MONTES DE OCA,590,"MONTES DE OCA, MANUEL 590","590 MONTES DE OCA, MANUEL",4362-2382,,BARRACAS,4
-583.749.763.121.684,-346.377.099.627.292,1401,FARMACIA,MONTES DE OCA,839,"MONTES DE OCA, MANUEL 839","839 MONTES DE OCA, MANUEL",4303-1590,,BARRACAS,4
-583.738.517.345.267,-346.437.996.563.973,582,FARMACIA,MONTES DE OCA,1401,"MONTES DE OCA, MANUEL 1401","1401 MONTES DE OCA, MANUEL",,,BARRACAS,4
-583.780.048.211.462,-346.492.878.806.023,590,FARMACIA,AV IRIARTE,2200,"IRIARTE, GRAL. AV. 2200","2200 IRIARTE, GRAL. AV.",3010254,/7880,BARRACAS,4
-583.878.229.363.528,-346.347.364.308.758,611,FARMACIA,PERDRIEL,74,PERDRIEL 74,74 PERDRIEL,4309-6400,,BARRACAS,4
-583.708.476.757.898,-346.391.006.564.945,629,FARMACIA,OLAVARRIA,1363,OLAVARRIA 1363,1363 OLAVARRIA,4302-7326,,BARRACAS,4
-583.900.639.147.777,-346.342.467.026.555,633,FARMACIA,AV CASEROS,1990,CASEROS AV. 1990,1990 CASEROS AV.,4363-2400,,BARRACAS,4
-583.937.482.388.393,-346.512.587.434.591,685,FARMACIA,AV IRIARTE,3299,"IRIARTE, GRAL. AV. 3299","3299 IRIARTE, GRAL. AV.",,,BARRACAS,4
-58.379.697.995.384,-34.650.993.091.015,704,FARMACIA,RIO CUARTO,2400,RIO CUARTO 2400,2400 RIO CUARTO,4301-0330,4301-5429,BARRACAS,4
-583.744.016.566.423,-346.408.879.800.251,856,FARMACIA,MONTES DE OCA,1109,"MONTES DE OCA, MANUEL 1109","1109 MONTES DE OCA, MANUEL",,,BARRACAS,4
-58.372.146.555.599,-346.304.356.478.456,874,FARMACIA,PIEDRAS,1960,PIEDRAS 1960,1960 PIEDRAS,43073-0164,3073021,BARRACAS,4
-583.887.705.443.596,-346.339.441.656.684,959,FARMACIA,AV CASEROS,1902,CASEROS AV. 1902,1902 CASEROS AV.,4304-6813,,BARRACAS,4
-583.744.007.911.177,-346.385.557.281.253,976,FARMACIA,MONTES DE OCA,898,"MONTES DE OCA, MANUEL 898","898 MONTES DE OCA, MANUEL",,,BARRACAS,4
-58.374.413.881.642,-346.385.182.522.485,1076,FARMACIA,MONTES DE OCA,894,"MONTES DE OCA, MANUEL 894","894 MONTES DE OCA, MANUEL",,,BARRACAS,4
-58.369.731.466.634,-346.384.563.831.253,1184,FARMACIA,AV REGIMIENTO DE PATRICIOS,935,REGIMIENTO DE PATRICIOS AV. 935,935 REGIMIENTO DE PATRICIOS AV.,4301-1662,,BARRACAS,4
-58.374.055.620.892,-346.387.781.038.053,1342,FARMACIA,SUAREZ,1680,SUAREZ 1680,1680 SUAREZ,4302-5883,4302-4998,BARRACAS,4
-583.742.727.225.369,-346.391.756.057.663,1343,FARMACIA,MONTES DE OCA,954,"MONTES DE OCA, MANUEL 954","954 MONTES DE OCA, MANUEL",4301-1649,/3078,BARRACAS,4
-583.741.126.849.317,-346.423.467.976.854,1500,FARMACIA,MONTES DE OCA,1229,"MONTES DE OCA, MANUEL 1229","1229 MONTES DE OCA, MANUEL",4302-5255,,BARRACAS,4
-583.726.167.642.172,-346.480.108.210.996,1538,FARMACIA,MONTES DE OCA,1800,"MONTES DE OCA, MANUEL 1800","1800 MONTES DE OCA, MANUEL",4301-2310,,BARRACAS,4
-583.731.549.743.465,-346.269.450.980.428,1539,FARMACIA,AV CASEROS,554,CASEROS AV. 554,554 CASEROS AV.,4307-7075,,BARRACAS,4
-584.701.491.454.416,-346.470.303.371.374,18,FARMACIA,LAGUNA,1384,LAGUNA 1384,1384 LAGUNA,,,PARQUE AVELLANEDA,9
-584.800.149.557.148,-346.410.751.995.652,28,FARMACIA,LACARRA,688,LACARRA 688,688 LACARRA,4674-1414,,PARQUE AVELLANEDA,9
-58.481.714.736.134,-346.529.777.206.552,254,FARMACIA,AV OLIVERA,1263,OLIVERA AV. 1263,1263 OLIVERA AV.,4683-3470,,PARQUE AVELLANEDA,9
-584.856.644.418.242,-346.427.607.556.969,272,FARMACIA,JOSE E. RODO,4305,"RODO, JOSE E. 4305","4305 RODO, JOSE E.",4674-3391,,PARQUE AVELLANEDA,9
-584.672.394.396.747,-346.457.439.072.139,283,FARMACIA,AV EVA PERON,3699,"PERON, EVA AV. 3699","3699 PERON, EVA AV.",4637-1338,,PARQUE AVELLANEDA,9
-584.894.429.340.602,-346.492.956.737.593,325,FARMACIA,AV DIRECTORIO,4799,DIRECTORIO AV. 4799,4799 DIRECTORIO AV.,4683-7750,,PARQUE AVELLANEDA,9
-58.475.999.780.243,-346.391.714.141.047,363,FARMACIA,MARIANO ACOSTA,683,"ACOSTA, MARIANO AV. 683","683 ACOSTA, MARIANO AV.",4636-2164,,PARQUE AVELLANEDA,9
-584.756.972.790.968,-346.524.770.277.013,405,FARMACIA,DR. FLORENTINO AMEGHINO,1701,"AMEGHINO, FLORENTINO, DR. 1701","1701 AMEGHINO, FLORENTINO, DR.",4683-4399,,PARQUE AVELLANEDA,9
-584.659.438.443.062,-346.451.358.576.624,428,FARMACIA,AV EVA PERON,3587,"PERON, EVA AV. 3587","3587 PERON, EVA AV.",4611-6329,,PARQUE AVELLANEDA,9
-584.726.793.742.508,-346.525.448.421.511,516,FARMACIA,AV EVA PERON,4256,"PERON, EVA AV. 4256","4256 PERON, EVA AV.",4674-1600,,PARQUE AVELLANEDA,9
-584.952.650.252.991,-346.446.824.481.961,517,FARMACIA,AV JUAN B. ALBERDI,4899,"ALBERDI, JUAN BAUTISTA AV. 4899","4899 ALBERDI, JUAN BAUTISTA AV.",4635-5777,,PARQUE AVELLANEDA,9
-584.651.769.380.702,-346.447.869.332.386,542,FARMACIA,AV EVA PERON,3501,"PERON, EVA AV. 3501","3501 PERON, EVA AV.",,,PARQUE AVELLANEDA,9
-584.884.035.415.397,-346.483.740.980.794,706,FARMACIA,AV DIRECTORIO,4701,DIRECTORIO AV. 4701,4701 DIRECTORIO AV.,4682-3921,/3920,PARQUE AVELLANEDA,9
-584.774.353.354.358,-34.656.917.545.446,755,FARMACIA,AV EVA PERON,4802,"PERON, EVA AV. 4802","4802 PERON, EVA AV.",4683-2111,4683-1671,PARQUE AVELLANEDA,9
-584.789.624.962.881,-346.404.987.529.095,791,FARMACIA,AV DIRECTORIO,3901,DIRECTORIO AV. 3901,3901 DIRECTORIO AV.,4671-8222,,PARQUE AVELLANEDA,9
-584.664.739.307.055,-34.646.722.009.589,1085,FARMACIA,MARIANO ACOSTA,1449,"ACOSTA, MARIANO 1449","1449 ACOSTA, MARIANO",4637-4784,,PARQUE AVELLANEDA,9
-584.663.994.911.664,-346.457.582.485.923,1191,FARMACIA,AV EVA PERON,3642,"PERON, EVA AV. 3642","3642 PERON, EVA AV.",4613-3700,4619-0204 o 4619-0203,PARQUE AVELLANEDA,9
-584.784.773.521.234,-346.578.444.935.925,1194,FARMACIA,AV EVA PERON,4894,"PERON, EVA AV. 4894","4894 PERON, EVA AV.",4635-6666,,PARQUE AVELLANEDA,9
-584.734.252.993.192,-346.462.521.320.054,1451,FARMACIA,AV LACARRA,1302,LACARRA AV. 1302,1302 LACARRA AV.,,,PARQUE AVELLANEDA,9
-584.866.626.641.292,-346.468.758.261.543,1506,FARMACIA,AV DIRECTORIO,4549,DIRECTORIO AV. 4549,4549 DIRECTORIO AV.,,,PARQUE AVELLANEDA,9
-584.737.074.751.713,-346.441.786.933.417,543,FARMACIA,FRANCISCO BILBAO,3799,"BILBAO, FRANCISCO AV. 3799","3799 BILBAO, FRANCISCO AV.",4671-8255,,PARQUE AVELLANEDA,9
-584.372.376.765.715,-346.347.440.432.703,165,FARMACIA,AV ASAMBLEA,891,ASAMBLEA AV. 891,891 ASAMBLEA AV.,4923-3529,,PARQUE CHACABUCO,7
-584.313.853.803.276,-346.413.783.723.093,189,FARMACIA,COBO,1101,COBO AV. 1101,1101 COBO AV.,4925-3333,,PARQUE CHACABUCO,7
-584.483.133.206.851,-346.340.528.739.957,204,FARMACIA,CURAPALIGÃœE,896,CURAPALIGUE 896,896 CURAPALIGUE,4632-8392,,PARQUE CHACABUCO,7
-584.513.363.249.567,-346.372.648.102.417,331,FARMACIA,AV CARABOBO,1000,CARABOBO AV. 1000,1000 CARABOBO AV.,4631-1783,,PARQUE CHACABUCO,7
-584.384.116.885.955,-346.360.967.133.748,415,FARMACIA,EMILIO MITRE,1404,"MITRE, EMILIO 1404","1404 MITRE, EMILIO",4921-2527,,PARQUE CHACABUCO,7
-584.411.808.562.182,-346.436.783.716.535,426,FARMACIA,AV COBO,1894,COBO AV. 1894,1894 COBO AV.,4924-7480,,PARQUE CHACABUCO,7
-584.341.961.986.981,-346.282.531.857.664,530,FARMACIA,AV DIRECTORIO,520,DIRECTORIO AV. 520,520 DIRECTORIO AV.,4922-8777,,PARQUE CHACABUCO,7
-584.356.943.955.231,-346.342.743.470.432,667,FARMACIA,DEL BARCO CENTENERA,1282,BARCO CENTENERA DEL 1282,1282 BARCO CENTENERA DEL,4921-5744,,PARQUE CHACABUCO,7
-584.301.060.576.572,-346.351.404.839.698,695,FARMACIA,ALBARRACIN,1551,ALBARRACIN 1551,1551 ALBARRACIN,4924-0996,,PARQUE CHACABUCO,7
-584.404.428.070.468,-346.357.628.334.306,700,FARMACIA,AV ASAMBLEA,1102,ASAMBLEA AV. 1102,1102 ASAMBLEA AV.,4921-5766,,PARQUE CHACABUCO,7
-584.305.326.085.571,-34.627.729.831.337,749,FARMACIA,AV DIRECTORIO,280,DIRECTORIO AV. 280,280 DIRECTORIO AV.,4923-3452,,PARQUE CHACABUCO,7
-584.336.042.517.245,-346.281.843.942.262,800,FARMACIA,AV DIRECTORIO,500,DIRECTORIO AV. 500,500 DIRECTORIO AV.,4923-8669,,PARQUE CHACABUCO,7
-584.321.558.657.414,-346.415.187.104.931,871,FARMACIA,AV COBO,1189,COBO AV. 1189,1189 COBO AV.,4925-2461,4923-9613 o 4924-9624,PARQUE CHACABUCO,7
-584.360.463.417.029,-346.348.740.086.496,1028,FARMACIA,AV ASAMBLEA,826,ASAMBLEA AV. 826,826 ASAMBLEA AV.,,,PARQUE CHACABUCO,7
-584.269.110.906.669,-34.627.190.921.317,1288,FARMACIA,AV DIRECTORIO,2,DIRECTORIO AV. 2,2 DIRECTORIO AV.,4922-2551,,PARQUE CHACABUCO,7
-584.325.188.426.501,-346.340.835.884.835,1328,FARMACIA,AV ASAMBLEA,500,ASAMBLEA AV. 500,500 ASAMBLEA AV.,4925-5110,,PARQUE CHACABUCO,7
-584.416.035.618.041,-346.314.913.322.736,1358,FARMACIA,EMILIO MITRE,900,"MITRE, EMILIO 900","900 MITRE, EMILIO",4923-1258,,PARQUE CHACABUCO,7
-584.461.312.898.665,-346.300.106.759.108,340,FARMACIA,AV DIRECTORIO,1302,DIRECTORIO AV. 1302,1302 DIRECTORIO AV.,4432-7038,,PARQUE CHACABUCO,7
-584.213.404.843.261,-346.449.096.146.543,82,FARMACIA,AV LA PLATA,2599,LA PLATA AV. 2599,2599 LA PLATA AV.,4922-7182,,NUEVA POMPEYA,4
-584.166.276.752.356,-346.505.555.741.026,178,FARMACIA,AV SAENZ,885,SAENZ AV. 885,885 SAENZ AV.,4919-3430,,NUEVA POMPEYA,4
-58.423.025.044.173,-346.519.954.649.286,289,FARMACIA,AV DEL BARCO CENTENERA,3111,BARCO CENTENERA DEL 3111,3111 BARCO CENTENERA DEL,4918-7677,,NUEVA POMPEYA,4
-584.168.672.627.246,-346.546.366.884.056,511,FARMACIA,AV RAVANAL,1319,"RABANAL, FRANCISCO, INTENDENTE AV. 1319","1319 RABANAL, FRANCISCO, INTENDENTE AV.",4919-7648,,NUEVA POMPEYA,4
-584.117.212.268.037,-346.387.302.534.681,533,FARMACIA,AV ALMAFUERTE,27,ALMAFUERTE AV. 27,27 ALMAFUERTE AV.,4911-4017,,NUEVA POMPEYA,4
-584.166.197.655.888,-346.506.760.858.189,555,FARMACIA,AV SAENZ,895,SAENZ AV. 895,895 SAENZ AV.,4919-9627,,NUEVA POMPEYA,4
-584.219.812.121.022,-346.441.418.281.383,566,FARMACIA,AV LA PLATA,2501,LA PLATA AV. 2501,2501 LA PLATA AV.,4923-3984,,NUEVA POMPEYA,4
-584.166.357.187.536,-346.504.296.448.068,1385,FARMACIA,AV SAENZ,875,SAENZ AV. 875,875 SAENZ AV.,4919-1242,,NUEVA POMPEYA,4
-584.160.766.250.891,-346.525.832.424.846,568,FARMACIA,AV SAENZ,1028,SAENZ AV. 1028,1028 SAENZ AV.,4912-4255,,NUEVA POMPEYA,4
-58.416.653.127.855,-346.527.658.128.604,597,FARMACIA,AV SAENZ,1071,SAENZ AV. 1071,1071 SAENZ AV.,4919-4200,4919-3687,NUEVA POMPEYA,4
-584.159.379.413.792,-346.425.910.612.012,652,FARMACIA,AV SAENZ,296,SAENZ AV. 296,296 SAENZ AV.,4911-1622,,NUEVA POMPEYA,4
-584.168.164.349.396,-346.544.146.999.727,653,FARMACIA,AV SAENZ,1181,SAENZ AV. 1181,1181 SAENZ AV.,4919-0509,,NUEVA POMPEYA,4
-584.133.368.748.583,-346.426.501.168.578,763,FARMACIA,ALMAFUERTE,399,ALMAFUERTE AV. 399,399 ALMAFUERTE AV.,4912-9501,,NUEVA POMPEYA,4
-584.062.730.590.294,-346.556.617.637.856,965,FARMACIA,PEPIRI,1501,PEPIRI 1501,1501 PEPIRI,4911-6104,,NUEVA POMPEYA,4
-584.159.240.307.124,-346.390.786.215.227,1009,FARMACIA,AV CASEROS,3600,CASEROS AV. 3600,3600 CASEROS AV.,,,NUEVA POMPEYA,4
-584.228.038.925.875,-346.431.837.955.477,1052,FARMACIA,AV LA PLATA,2401,LA PLATA AV. 2401,2401 LA PLATA AV.,,,NUEVA POMPEYA,4
-584.152.882.402.962,-34.652.185.924.816,1158,FARMACIA,TRAFUL,3870,TRAFUL 3870,3870 TRAFUL,4911-2801,,NUEVA POMPEYA,4
-584.166.658.520.918,-346.529.304.197.134,1225,FARMACIA,AV SAENZ,1091,SAENZ AV. 1091,1091 SAENZ AV.,49194483,,NUEVA POMPEYA,4
-584.166.378.441.565,-346.504.602.980.208,1306,FARMACIA,AV SAENZ,883,SAENZ AV. 883,883 SAENZ AV.,4919-3430,,NUEVA POMPEYA,4
-584.119.501.215.814,-346.528.471.666.728,1504,FARMACIA,VENTURA DE LA VEGA,3697,"VEGA, VENTURA DE LA 3697","3697 VEGA, VENTURA DE LA",4911-4319,4911-1234,NUEVA POMPEYA,4
-58.412.634.144.058,-346.385.167.638.725,1528,FARMACIA,AV CASEROS,3372,CASEROS AV. 3372,3372 CASEROS AV.,4911-9302,,NUEVA POMPEYA,4
-584.167.995.262.689,-346.561.723.164.643,1513,FARMACIA,AV SAENZ,1285,SAENZ AV. 1285,1285 SAENZ AV.,4919-4612,,NUEVA POMPEYA,4
-584.067.079.956.806,-345.808.106.438.546,12,FARMACIA,CERVIÃ‘O,3365,CERVIÃ‘O AV. 3365,3365 CERVIÃ‘O AV.,4801-5981,,PALERMO,14
-584.388.421.862.343,-345.849.053.345.592,64,FARMACIA,BONPLAND,1507,BONPLAND 1507,1507 BONPLAND,4772-5239,,PALERMO,14
-584.200.636.770.384,-345.738.642.810.817,92,FARMACIA,FRAY J.S. DE ORO,3018,FRAY JUSTO SANTAMARIA DE ORO 3018,3018 FRAY JUSTO SANTAMARIA DE ORO,4787-8787,4773-9116,PALERMO,14
-584.331.311.895.359,-345.920.749.651.749,96,FARMACIA,AV CORDOBA,4899,CORDOBA AV. 4899,4899 CORDOBA AV.,4777-6201,,PALERMO,14
-58.422.616.210.773,-345.755.929.434.145,98,FARMACIA,AV CERVIÃ‘O,4602,CERVIÃ‘O AV. 4602,4602 CERVIÃ‘O AV.,4773-8313,,PALERMO,14
-584.096.603.803.173,-345.785.728.611.312,101,FARMACIA,JUAN F. SEGUI,3635,"SEGUI, JUAN FRANCISCO 3635","3635 SEGUI, JUAN FRANCISCO",4804-4080,,PALERMO,14
-58.419.462.370.278,-345.875.453.590.371,131,FARMACIA,AV RAUL SCALABRINI ORTIZ,2199,"SCALABRINI ORTIZ, RAUL AV. 2199","2199 SCALABRINI ORTIZ, RAUL AV.",4832-5059,,PALERMO,14
-584.192.539.786.193,-345.869.810.743.291,132,FARMACIA,AV RAUL SCALABRINI ORTIZ,2282,"SCALABRINI ORTIZ, RAUL AV. 2282","2282 SCALABRINI ORTIZ, RAUL AV.",4831-0675,,PALERMO,14
-584.128.254.265.437,-345.840.579.057.537,142,FARMACIA,ARAOZ,2800,ARAOZ 2800,2800 ARAOZ,4833-1072,,PALERMO,14
-584.321.949.673.739,-345.902.011.116.424,156,FARMACIA,CABRERA JOSE ANTONIO,5000,"CABRERA, JOSE A. 5000","5000 CABRERA, JOSE A.",4775-5020,,PALERMO,14
-584.191.523.606.749,-345.832.009.938.266,209,FARMACIA,AV SANTA FE,3944,SANTA FE AV. 3944,3944 SANTA FE AV.,4831-0881,,PALERMO,14
-584.146.262.868.729,-345.942.021.219.401,229,FARMACIA,HONDURAS,3702,HONDURAS 3702,3702 HONDURAS,4963-2319,,PALERMO,14
-58.418.829.968.725,-345.890.294.178.636,231,FARMACIA,PARAGUAY,3950,PARAGUAY 3950,3950 PARAGUAY,4826-1689,,PALERMO,14
-584.350.042.827.843,-34.567.810.699.132,242,FARMACIA,JORGE NEWBERY,1742,"NEWBERY, JORGE 1742","1742 NEWBERY, JORGE",4775-0440,,PALERMO,14
-584.145.152.903.009,-345.908.347.322.588,281,FARMACIA,BULNES,1770,BULNES 1770,1770 BULNES,4826-1440,,PALERMO,14
-584.279.123.205.948,-345.873.875.958.083,300,FARMACIA,COSTA RICA,4799,COSTA RICA 4799,4799 COSTA RICA,4831-4523,,PALERMO,14
-584.201.452.696.669,-345.856.718.556.785,305,FARMACIA,CHARCAS,4043,CHARCAS 4043,4043 CHARCAS,4833-2254,,PALERMO,14
-584.381.568.427.032,-345.809.028.274.438,339,FARMACIA,EL SALVADOR,5899,EL SALVADOR 5899,5899 EL SALVADOR,4771-2234,,PALERMO,14
-584.150.578.879.025,-345.879.924.709.174,383,FARMACIA,GUEMES,3732,GUEMES 3732,3732 GUEMES,4821-2118,,PALERMO,14
-58.433.812.810.496,-345.682.863.891.893,404,FARMACIA,MATIENZO BENJAMIN,1714,"MATIENZO, BENJAMIN, TENIENTE 1714","1714 MATIENZO, BENJAMIN, TENIENTE",4771-7545,,PALERMO,14
-584.150.493.897.834,-34.588.829.648.233,407,FARMACIA,JERONIMO SALGUERO,1845,"SALGUERO, JERONIMO 1845","1845 SALGUERO, JERONIMO",4823-2776,,PALERMO,14
